code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
82991-1,Phospholipase A2 receptor Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IF,"PLA2R, Immunofluorescence, S","PLA2R, Immunofluorescence, S"
73737-9,Phospholipase A2 receptor Ab.IgG,ACnc,Pt,Ser,Qn,IA,"PLA2R, Monitoring, ELISA, S","PLA2R, Monitoring, ELISA, S"
2338-2,Glucagon,MCnc,Pt,Ser/Plas,Qn,,"Glucagon, P","Glucagon, P"
49248-8,Amino acid pattern,Imp,Pt,Urine,Nar,,Interpretation (AAPD),Interpretation (AAPD)
49303-1,Amino acid pattern,Imp,Pt,CSF,Nar,,Interpretation,Interpretation
46743-1,Maple syrup urine disease,Imp,Pt,Bld.dot,Nom,,Interpretation,Interpretation
27873-9,Insulin^post CFst,ACnc,Pt,Ser/Plas,Qn,,"Insulin, S","Insulin, S"
93812-6,"1,3 beta glucan",PrThr,Pt,Ser,Ord,,Fungitell Qualitative Result,Fungitell Qualitative Result
93690-6,BRAF gene.p.Val600 mutations,Prid,Pt,Plas.cfDNA,Nom,Molgen,Result,Result
562-9,Clostridioides difficile,PrThr,Pt,Stool,Ord,Organism specific culture,C. difficile Culture,C. difficile Culture
2996-7,Tetrahydrodeoxycortisol,MRat,24H,Urine,Qn,,Tetrahydrodeoxycortisol,Tetrahydrodeoxycortisol
93706-0,Ethyl sulfate+Ethyl glucuronide,MCnc,Pt,Urine,Qn,Screen,ETG Immunoassay Screen,ETG Immunoassay Screen
36917-3,Chromosome uniparental disomy,Prid,Pt,Bld/Tiss,Nar,Molgen,Result,Result
30471-7,levETIRAcetam,MCnc,Pt,Ser/Plas,Qn,,"Levetiracetam, S","Levetiracetam, S"
3432-2,carBAMazepine,MCnc,Pt,Ser/Plas,Qn,,"Carbamazepine, Tot, S","Carbamazepine, Tot, S"
44737-5,Asialoganglioside GM1 Ab,ACnc,Pt,Ser,Qn,IA,"Asialo-GM1 Antibodies, IgG-IgM","Asialo-GM1 Antibodies, IgG-IgM"
26870-6,Ganglioside GD1b Ab,ACnc,Pt,Ser,Qn,IA,"GD1b Antibodies, IgG-IgM","GD1b Antibodies, IgG-IgM"
49090-4,Fetal trisomy 21 risk,Likelihood,Pt,^Fetus,Qn,Based on maternal age,Down syndrome maternal age risk,Down syndrome maternal age risk
19659-2,Phencyclidine,PrThr,Pt,Urine,Ord,Screen,Phencyclidine Immunoassay Screen,Phencyclidine Immunoassay Screen
82197-5,Clostridioides difficile toxin A+B tcdA+tcdB genes,PrThr,Pt,Stool,Ord,Non-probe.amp.tar,C. difficile toxin,C. difficile toxin
