code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
49710-7,SOD1 gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"SOD1 Gene, Full Gene Analysis, Varies","SOD1 Gene, Full Gene Analysis, Varies"
7709-9,Solea solea Ab.IgE,ACnc,Pt,Ser,Qn,,"Sole, IgE, Serum","Sole, IgE, Serum"
93748-2,Fibrin monomer,MCnc,Pt,PPP,Qn,IA,"Soluble Fibrin Monomer, Plasma","Soluble Fibrin Monomer, Plasma"
6244-8,Rumex acetosella Ab.IgE,ACnc,Pt,Ser,Qn,,"Red Sorrel, IgE, Serum","Red Sorrel, IgE, Serum"
6248-9,Glycine max Ab.IgE,ACnc,Pt,Ser,Qn,,"Soybean, IgE, Serum","Soybean, IgE, Serum"
96565-7,sp100 Ab,ACnc,Pt,Ser,Qn,IA,"SP100 Antibody, IgG, Serum","SP100 Antibody, IgG, Serum"
85149-3,Programmed cell death ligand 1 by clone SP142,Find,Pt,Tiss,Doc,Immune stain,"Programmed Death-Ligand 1 (PD-L1) (SP142), Semi-Quantitative Immunohistochemistry, Manual","Programmed Death-Ligand 1 (PD-L1) (SP142), Semi-Quantitative Immunohistochemistry, Manual"
101462-0,Septin-5 Ab.IgG,PrThr,Pt,CSF,Ord,CBA IFA,"Septin-5 Antibody, Cell-Binding Assay, Spinal Fluid","Septin-5 Antibody, Cell-Binding Assay, Spinal Fluid"
101463-8,Septin-5 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,CBA IFA,"Septin-5 Antibody, Cell Binding Assay, Serum","Septin-5 Antibody, Cell Binding Assay, Serum"
101459-6,Septin-5 Ab.IgG,Titr,Pt,CSF,SemiQn,IF,"Septin-5 Antibody, Tissue Immunofluorescence, Spinal Fluid","Septin-5 Antibody, Tissue Immunofluorescence, Spinal Fluid"
101458-8,Septin-5 Ab.IgG,Titr,Pt,Ser/Plas,SemiQn,IF,"Septin-5 Antibody, Tissue Immunofluorescence Titer, Serum","Septin-5 Antibody, Tissue Immunofluorescence Titer, Serum"
101466-1,Septin-7 Ab.IgG,PrThr,Pt,CSF,Ord,CBA IFA,"Septin-7 Antibody, Cell-Binding Assay, Spinal Fluid","Septin-7 Antibody, Cell-Binding Assay, Spinal Fluid"
101467-9,Septin-7 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,CBA IFA,"Septin-7 Antibody, Cell-Binding Assay, Serum","Septin-7 Antibody, Cell-Binding Assay, Serum"
101457-0,Septin-7 Ab.IgG,Titr,Pt,CSF,SemiQn,IF,"Septin-7 Antibody, Tissue Immunofluorescence Titer, Spinal Fluid","Septin-7 Antibody, Tissue Immunofluorescence Titer, Spinal Fluid"
101456-2,Septin-7 Ab.IgG,Titr,Pt,Ser/Plas,SemiQn,IF,"Septin-7 Antibody, Tissue Immunofluorescence Titer, Serum","Septin-7 Antibody, Tissue Immunofluorescence Titer, Serum"
906-8,Blood group antigens present,Prid,Pt,Bld,Nom,,"Special Red Cell Antigen Typing, Whole Blood","Special Red Cell Antigen Typing, Whole Blood"
54454-4,Arsenic fractions panel,-,Pt,Urine,Qn,,"Arsenic Speciation, Random, Urine","Arsenic Speciation, Random, Urine"
96253-0,Arsenic fractions panel,-,24H,Urine,Qn,,"Arsenic Speciation, 24 Hour, Urine","Arsenic Speciation, 24 Hour, Urine"
6856-9,Spinacia oleracea Ab.IgE,ACnc,Pt,Ser,Qn,,"Spinach, IgE, Serum","Spinach, IgE, Serum"
20489-1,Streptococcus pneumoniae Ag,PrThr,Pt,CSF,Ord,,"Streptococcus pneumoniae Antigen, Spinal Fluid","Streptococcus pneumoniae Antigen, Spinal Fluid"
77949-6,Streptococcus pneumoniae Ag,PrThr,Pt,Urine,Ord,IA.rapid,"Streptococcus pneumoniae Antigen, Random, Urine","Streptococcus pneumoniae Antigen, Random, Urine"
7627-3,Ipomoea batatas Ab.IgE,ACnc,Pt,Ser,Qn,,"Sweet Potato, IgE, Serum","Sweet Potato, IgE, Serum"
6857-7,Picea excelsa Ab.IgE,ACnc,Pt,Ser,Qn,,"Spruce, IgE, Serum","Spruce, IgE, Serum"
7713-1,Squash Ab.IgE,ACnc,Pt,Ser,Qn,,"Squash, IgE, Serum","Squash, IgE, Serum"
14038-4,Todarodes pacificus Ab.IgE,ACnc,Pt,Ser,Qn,,"Pacific Squid, IgE, Serum","Pacific Squid, IgE, Serum"
6858-5,Loligo sp Ab.IgE,ACnc,Pt,Ser,Qn,,"Squid, IgE, Serum","Squid, IgE, Serum"
50736-8,Serotonin release.heparin.unfractionated panel,-,Pt,Ser,-,,"Serotonin Release Assay, Unfractionated Heparin, Mass Spectrometry, Serum","Serotonin Release Assay, Unfractionated Heparin, Mass Spectrometry, Serum"
6085-5,Ambrosia elatior Ab.IgE,ACnc,Pt,Ser,Qn,,"Short Ragweed, IgE, Serum","Short Ragweed, IgE, Serum"
81748-6,Chromosome region Yp11.3 deletion &or rearrangement,Find,Pt,Bld/Tiss,Doc,FISH,"Sex-Determining Region Y, Yp11.3 Deletion, FISH","Sex-Determining Region Y, Yp11.3 Deletion, FISH"
93810-0,SS18 gene rearrangements,Find,Pt,Tiss,Doc,FISH,"Synovial Sarcoma (SS), 18q11.2 (SS18 or SYT) Rearrangement, FISH, Tissue","Synovial Sarcoma (SS), 18q11.2 (SS18 or SYT) Rearrangement, FISH, Tissue"
87555-9,Sjogrens syndrome-A & B extractable nuclear Ab.IgG panel,-,Pt,Ser,Qn,,"SS-A and SS-B Antibodies, IgG, Serum","SS-A and SS-B Antibodies, IgG, Serum"
33613-1,Sjogrens syndrome-B extractable nuclear Ab.IgG,ACnc,Pt,Ser,Qn,,"SS-B/La Antibodies, IgG, Serum","SS-B/La Antibodies, IgG, Serum"
94397-7,"Sulfocysteine, Hypoxanthine, Xanthine, Urate & Creatinine panel",-,Pt,Urine,Qn,,"S-Sulfocysteine Panel, Random, Urine","S-Sulfocysteine Panel, Random, Urine"
21003-9,Fungus,Prid,Pt,XXX,Nom,Fungus stain,"Nocardia Stain, Varies","Nocardia Stain, Varies"
81232-1,Supersaturation panel,-,24H,Urine,-,,"Supersaturation Profile, Self-Collect, 24 Hour, Urine","Supersaturation Profile, Self-Collect, 24 Hour, Urine"
6257-0,Fragaria vesca Ab.IgE,ACnc,Pt,Ser,Qn,,"Strawberry, IgE, Serum","Strawberry, IgE, Serum"
6252-1,Stemphylium botryosum Ab.IgE,ACnc,Pt,Ser,Qn,,"Stemphyllium, IgE, Serum","Stemphyllium, IgE, Serum"
75858-1,Sterols panel,MCnc,Pt,Ser/Plas,-,,"Sterols, Plasma","Sterols, Plasma"
30248-9,Transferrin receptor.soluble,MCnc,Pt,Ser/Plas,Qn,,"sTfR (Soluble Transferrin Receptor), Serum","sTfR (Soluble Transferrin Receptor), Serum"
80679-4,Escherichia coli Stx1+Stx2 toxin stx1+stx2 genes,PrThr,Pt,Stool,Ord,Probe.amp.tar,"Shiga Toxin, Molecular Detection, PCR, Feces","Shiga Toxin, Molecular Detection, PCR, Feces"
103603-7,Tick-borne Ab panel,-,Pt,Ser,-,,"Tick-Borne Antibodies, Modified 2-Tier, ELISA, Serum","Tick-Borne Antibodies, Modified 2-Tier, ELISA, Serum"
94216-9,STK11 gene deletion+duplication & full mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"Peutz-Jeghers Syndrome, STK11, Full Gene Analysis, Varies","Peutz-Jeghers Syndrome, STK11, Full Gene Analysis, Varies"
625-4,Bacteria,Prid,Pt,Stool,Nom,Culture,"Enteric Pathogens Culture, Feces","Enteric Pathogens Culture, Feces"
96254-8,Saint Louis encephalitis virus Ab.IgG & IgM panel,-,Pt,CSF,-,,"St. Louis Encephalitis Antibody Panel, IgG and IgM, Spinal Fluid","St. Louis Encephalitis Antibody Panel, IgG and IgM, Spinal Fluid"
96403-1,Renal clearance & Renal plasma flow panel,-,Stdy,Urine+Ser/Plas,Qn,,"Standard Renal Clearance, Plasma and Random Urine","Standard Renal Clearance, Plasma and Random Urine"
34376-4,Strongyloides sp Ab.IgG,ACnc,Pt,Ser,Qn,IA,"Strongyloides Antibody, IgG, Serum","Strongyloides Antibody, IgG, Serum"
11579-0,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,Detection limit,"Thyroid-Stimulating Hormone-Sensitive (s-TSH), Serum","Thyroid-Stimulating Hormone-Sensitive (s-TSH), Serum"
53231-7,Succinylacetone,SCnc,Pt,Bld.dot,Qn,,"Succinylacetone, Blood Spot","Succinylacetone, Blood Spot"
26889-6,Sulfate,SRat,24H,Urine,Qn,,"Sulfate, 24 Hour, Urine","Sulfate, 24 Hour, Urine"
7726-3,Helianthus annuus pollen Ab.IgE,ACnc,Pt,Ser,Qn,,"Sunflower, IgE, Serum","Sunflower, IgE, Serum"
6258-8,Helianthus annuus seed Ab.IgE,ACnc,Pt,Ser,Qn,,"Sunflower Seed, IgE, Serum","Sunflower Seed, IgE, Serum"
101929-8,Supersaturation panel,-,Pt,Urine,-,,"Supersaturation Profile, Random, Urine","Supersaturation Profile, Random, Urine"
3128-6,Viscosity,Visc,Pt,Ser,Qn,,"Viscosity, Serum","Viscosity, Serum"
7728-9,Xiphias gladius Ab.IgE,ACnc,Pt,Ser,Qn,,"Swordfish, IgE, Serum","Swordfish, IgE, Serum"
47236-5,Treponema pallidum Ab.IgG+IgM,PrThr,Pt,Ser/Plas,Ord,IA,"Syphilis Total Antibody with Reflex, Serum","Syphilis Total Antibody with Reflex, Serum"
101118-8,Sezary syndrome diagnosis,Find,Pt,Bld,Doc,Flow cytometry,"Sezary Diagnostic Flow Cytometry, Blood","Sezary Diagnostic Flow Cytometry, Blood"
101117-0,Sezary syndrome monitoring,Find,Pt,Bld,Doc,Flow cytometry,"Sezary Monitoring Flow Cytometry, Blood","Sezary Monitoring Flow Cytometry, Blood"
83124-8,Triiodothyronine,MCnc,Pt,Ser/Plas,Qn,IA,"T3 (Triiodothyronine), Total, Serum","T3 (Triiodothyronine), Total, Serum"
3051-0,Triiodothyronine.free,MCnc,Pt,Ser/Plas,Qn,,"T3 (Triiodothyronine), Free, Serum","T3 (Triiodothyronine), Free, Serum"
83119-8,Thyroxine,MCnc,Pt,Ser/Plas,Qn,IA,"T4 (Thyroxine), Total Only, Serum","T4 (Thyroxine), Total Only, Serum"
105524-3,Tripartite motif containing 46 Ab.IgG,PrThr,Pt,CSF,Ord,IF,"Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Cell Binding Assay, Spinal Fluid","Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Cell Binding Assay, Spinal Fluid"
105525-0,Tripartite motif containing 46 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IF,"Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Cell Binding Assay, Serum","Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Cell Binding Assay, Serum"
103843-9,Tripartite motif containing 46,PrThr,Pt,XXX,Ord,IF,"Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence, Spinal Fluid","Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence, Spinal Fluid"
105526-8,Tripartite motif containing 46 Ab.IgG,Titr,Pt,CSF,SemiQn,IF,"Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence Titer, Spinal Fluid","Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence Titer, Spinal Fluid"
105527-6,Tripartite motif containing 46 Ab.IgG,Titr,Pt,Ser/Plas,SemiQn,IF,"Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence Titer, Serum","Tripartite Motif-Containing Protein 46 (TRIM46) IgG, Tissue Immunofluorescence Titer, Serum"
90224-7,Thyroxine & Thyroxine.free panel,-,Pt,Ser/Plas,-,,"T4 (Thyroxine), Total and Free, Serum","T4 (Thyroxine), Total and Free, Serum"
55769-4,EGFR gene.c.2369C>T,PrThr,Pt,Bld/Tiss,Ord,Molgen,"Cell-Free DNA EGFR T790M Mutation Analysis, Blood","Cell-Free DNA EGFR T790M Mutation Analysis, Blood"
72207-4,"t(8;21)(q22;q22.3)(RUNX1T1,RUNX1) fusion transcript/control transcript",NRto,Pt,Bld/Tiss,Qn,Molgen,"RUNX1::RUNX1T1 Translocation (8;21), Minimal Residual Disease Monitoring, Quantitative, Varies","RUNX1::RUNX1T1 Translocation (8;21), Minimal Residual Disease Monitoring, Quantitative, Varies"
87556-7,Thyroglobulin & thyroperoxidase Ab panel,-,Pt,Ser/Plas,Qn,,"Thyroid Autoantibodies Profile, Serum","Thyroid Autoantibodies Profile, Serum"
59822-7,Tacrolimus^4H post dose,MCnc,Pt,Bld,Qn,,"Tacrolimus, Peak, Blood","Tacrolimus, Peak, Blood"
77348-1,Tacrolimus^trough,MCnc,Pt,Bld,Qn,,"Tacrolimus, Blood","Tacrolimus, Blood"
3321-7,Amikacin^trough,MCnc,Pt,Ser/Plas,Qn,,"Amikacin, Trough, Serum","Amikacin, Trough, Serum"
101401-8,Tapentadol & Nortapentadol panel,-,Pt,Urine,-,,"Tapentadol and Metabolite, Random, Urine","Tapentadol and Metabolite, Random, Urine"
11202-9,Artemisia dracunculus Ab.IgE,ACnc,Pt,Ser,Qn,,"Tarragon, IgE, Serum","Tarragon, IgE, Serum"
3021-3,Thyroxine binding globulin,MCnc,Pt,Ser/Plas,Qn,,"Thyroxine-Binding Globulin (TBG), Serum","Thyroxine-Binding Globulin (TBG), Serum"
56026-8,Pyrazinamide,Susc,Pt,Isolate,OrdQn,Method for Slow-growing mycobacteria.antibiotic concentration at 300.0 ug/mL,"Susceptibility, Mycobacterium tuberculosis Complex, Pyrazinamide, Varies","Susceptibility, Mycobacterium tuberculosis Complex, Pyrazinamide, Varies"
94576-6,Mycobacterium tuberculosis complex species,Prid,Pt,Isolate,Nom,Probe.amp.tar,"Mycobacterium tuberculosis Complex Species Identification, PCR, Varies","Mycobacterium tuberculosis Complex Species Identification, PCR, Varies"
94117-9,Benzodiazepines panel,PrThr,Pt,Urine,Ord,Screen,"Targeted Benzodiazepine Screen, Random, Urine","Targeted Benzodiazepine Screen, Random, Urine"
21751-3,TCRB gene rearrangements,Arb,Pt,Bld/Tiss,Ord,Molgen,"T-Cell Receptor Gene Rearrangement, PCR, Tissue","T-Cell Receptor Gene Rearrangement, PCR, Tissue"
96493-2,T-cell naive & memory & activated subsets panel,-,Pt,Bld,Qn,,"T-Cell Subsets, Naive, Memory, and Activated, Blood","T-Cell Subsets, Naive, Memory, and Activated, Blood"
6860-1,Trichophyton rubrum Ab.IgE,ACnc,Pt,Ser,Qn,,"Trichophyton rubrum, IgE, Serum","Trichophyton rubrum, IgE, Serum"
32554-8,Thiamine,SCnc,Pt,Bld,Qn,,"Thiamine (Vitamin B1), Whole Blood","Thiamine (Vitamin B1), Whole Blood"
6264-6,Camellia sinensis Ab.IgE,ACnc,Pt,Ser,Qn,,"Tea, IgE, Serum","Tea, IgE, Serum"
35463-9,Telomere analysis,Prid,Pt,Bld/Tiss,Nom,,"Telomere Biology Disorders Gene Panel, Varies","Telomere Biology Disorders Gene Panel, Varies"
11024-7,Benzodiazepines,MCnc,Pt,Ser/Plas,Qn,,"Temazepam and Oxazepam, Serum","Temazepam and Oxazepam, Serum"
95778-7,TERT gene promotor region targeted mutation analysis,Find,Pt,Tiss,Doc,Molgen,"TERT Promoter Mutation Analysis, Droplet Digital PCR, Tumor","TERT Promoter Mutation Analysis, Droplet Digital PCR, Tumor"
95779-5,TFE3 gene rearrangements,Find,Pt,Tiss,Doc,FISH,"Alveolar Soft Part Sarcoma (ASPS)/Renal Cell Carcinoma (RCC), Xp11.23 (TFE3), FISH, Tissue","Alveolar Soft Part Sarcoma (ASPS)/Renal Cell Carcinoma (RCC), Xp11.23 (TFE3), FISH, Tissue"
95780-3,TFEB gene rearrangements,Find,Pt,Tiss,Doc,FISH,"Renal Cell Carcinoma, 6p21.1 (TFEB) Rearrangement, FISH, Tissue","Renal Cell Carcinoma, 6p21.1 (TFEB) Rearrangement, FISH, Tissue"
49872-5,FH gene targeted mutation analysis,Find,Pt,Bld/Tiss,Doc,Molgen,"FH Mutation Analysis, Next-Generation Sequencing, Tumor","FH Mutation Analysis, Next-Generation Sequencing, Tumor"
53922-1,Thyroglobulin,MCnc,Pt,Tiss.FNA,Qn,,"Thyroglobulin, Tumor Marker, Fine-Needle Aspiration Biopsy Needle Wash","Thyroglobulin, Tumor Marker, Fine-Needle Aspiration Biopsy Needle Wash"
